,id,user_name,mentions,hashtags,geo,Time,Text
3718,1063052529804763136,CorruptPoliticz,@peoplesvote_uk,#brexit #hate #Democracy #BBCNews #ITVNews #c4news #Skynews #stopbrexit #peoplesvote #brexit,,2018-11-15 12:54:08+00:00,"Watch out for those ultra nationalist and ott pro #brexit accounts, all kkk and gru, they #hate #Democracy and they hate you! @peoplesvote_uk @EUCitizen2017 #BBCNews #ITVNews #c4news #Skynews #stopbrexit #peoplesvote #brexit"
3719,1063052447034294272,CornishSkipper,,#nobrexitatall #peoplesvote #stopbrexit,,2018-11-15 12:53:48+00:00,#nobrexitatall gets the cheer - if you can stomach for first minute of lies and hypocrisy. #peoplesvote to #stopbrexit 
3720,1063052443095875584,mkokkinouboege,,#stopbrexit,,2018-11-15 12:53:47+00:00,Still she negoatiated the best packages for the UK! When and where the quote was said:) #stopbrexit
3721,1063052352721174529,BristolGJ,@Conservatives @UKLabour @10DowningStreet @peoplesvote_uk,#Brexit #StopBrexit #stopbrexitnow,,2018-11-15 12:53:26+00:00,"So, next: Doubt @Conservatives will risk a Gen Election @UKLabour victory, so they’ll change PM @10DowningStreet who’ll call a @peoplesvote_uk - they can then blame others for #Brexit not happening - it’s politically their only way out of this mess. #StopBrexit #stopbrexitnow"
3722,1063052241077190657,LPrivileged,,#FBPE #Remain #StopBrexit #StopBrexitSaveBritain #remainernow #EUref #justiceplease #PeoplesVote #sodem #openbritain #FBPE #NHS70 #bestforbritain #OFOC #NHSjobs #noborders #NorthernIreland,,2018-11-15 12:52:59+00:00,#FBPE #Remain #StopBrexit #StopBrexitSaveBritain #remainernow #EUref #justiceplease #PeoplesVote #sodem #openbritain #FBPE #NHS70 #bestforbritain #OFOC #NHSjobs #noborders #NorthernIreland
3723,1063052213445148673,AndyGrays0n,@UKLabour @broxtowelabour @NickKehoe01 @tregenza,#brexit #PeoplesVote #StopBrexit,,2018-11-15 12:52:52+00:00,"This may very well be true, Greg, but for goodness sake please use your energy and influence to shift @UKLabour and @broxtowelabour to a rationale view of the catastrophe that #brexit was always going to be. @NickKehoe01 @tregenza @NottPeoplesVote #PeoplesVote #StopBrexit"
3724,1063052093727084544,GorgonsonnSon,@JohnnyMercerUK,#NoConfidence #NoConfidenceVote #StopBrexit #PeoplesVote #unfittogovern,,2018-11-15 12:52:24+00:00,"It's great, isn't it?! And all the rats leaving the sinking ship too!! @JohnnyMercerUK was right - Shit Show government! #NoConfidence #NoConfidenceVote #StopBrexit #PeoplesVote #unfittogovern Brexshit -"
3725,1063052068875915264,ProMediaRes1,,#TheresaMay #JeremyCorbyn #Partyless #StopBrexit #PeoplesVote #shakethetree #opengoal,,2018-11-15 12:52:18+00:00,"I am not a supporter of #TheresaMay or #JeremyCorbyn (#Partyless for the 1st time), but it seems the Conservative party is at its weakest point in as long as I can remember and Labour seems totally unable to sieze the opportunity. #StopBrexit #PeoplesVote #shakethetree #opengoal"
3726,1063051975128956929,julianhopes,,#StopBrexit #PeoplesVote,,2018-11-15 12:51:56+00:00,"what if no-one apart from the money grubbing tories want brexit? What if after 2 years of failing to deliver on any of the promises prior to the 2016 vote, people have woken up to the fact that brexit is a shit idea? What if the only real option is to #StopBrexit #PeoplesVote"
3727,1063051699055742976,moodyoldblue,,#Leavers #Brexit #StopBrexit,,2018-11-15 12:50:50+00:00,"Stupid #Leavers - we have all the powers we need. We just need to use them. And stay in the EU to do so. But apparently, we are losing our sovereignty, to become a vassal state through #Brexit. Wake up and #StopBrexit. "
